"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:08:53,9720848","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9721212","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files","SUCCESS","CreationTime: 19.08.2015 11:20:50, LastAccessTime: 19.08.2015 12:43:18, LastWriteTime: 19.08.2015 12:43:18, ChangeTime: 19.08.2015 12:43:18, FileAttributes: HSDNCI"
"15:08:53,9721484","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files","SUCCESS",""
"15:08:53,9723714","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9724065","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files","SUCCESS","CreationTime: 19.08.2015 11:20:50, LastAccessTime: 19.08.2015 12:43:18, LastWriteTime: 19.08.2015 12:43:18, ChangeTime: 19.08.2015 12:43:18, FileAttributes: HSDNCI"
"15:08:53,9724376","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files","SUCCESS",""
"15:08:53,9726488","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9726830","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files","SUCCESS","CreationTime: 19.08.2015 11:20:50, LastAccessTime: 19.08.2015 12:43:18, LastWriteTime: 19.08.2015 12:43:18, ChangeTime: 19.08.2015 12:43:18, FileAttributes: HSDNCI"
"15:08:53,9727124","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files","SUCCESS",""
"15:08:53,9729512","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\desktop.ini","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9731320","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\desktop.ini","SUCCESS","CreationTime: 19.08.2015 11:21:46, LastAccessTime: 19.08.2015 11:21:46, LastWriteTime: 19.08.2015 11:21:46, ChangeTime: 19.08.2015 11:21:46, FileAttributes: HSNCI"
"15:08:53,9731627","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\desktop.ini","SUCCESS",""
"15:08:53,9733843","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9734230","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5","SUCCESS","CreationTime: 19.08.2015 11:21:46, LastAccessTime: 26.08.2015 18:09:29, LastWriteTime: 26.08.2015 18:09:29, ChangeTime: 18.11.2015 15:05:38, FileAttributes: HSDNCI"
"15:08:53,9734497","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5","SUCCESS",""
"15:08:53,9736648","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9737034","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5","SUCCESS","CreationTime: 19.08.2015 11:21:46, LastAccessTime: 26.08.2015 18:09:29, LastWriteTime: 26.08.2015 18:09:29, ChangeTime: 18.11.2015 15:05:38, FileAttributes: HSDNCI"
"15:08:53,9737320","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5","SUCCESS",""
"15:08:53,9739505","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\desktop.ini","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9740967","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\desktop.ini","SUCCESS","CreationTime: 19.08.2015 11:21:46, LastAccessTime: 19.08.2015 11:21:46, LastWriteTime: 19.08.2015 11:21:46, ChangeTime: 19.08.2015 11:21:46, FileAttributes: HSNCI"
"15:08:53,9741252","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\desktop.ini","SUCCESS",""
"15:08:53,9774560","GPU-Z.exe","1748","CreateFile","C:\Users\Admin","NAME COLLISION","Desired Access: Read Data/List Directory, Synchronize, Disposition: Create, Options: Directory, Synchronous IO Non-Alert, Open Reparse Point, Attributes: N, ShareMode: Read, Write, AllocationSize: 0"
"15:08:53,9776500","GPU-Z.exe","1748","CreateFile","C:\Users\Admin","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9776912","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin","SUCCESS","CreationTime: 19.08.2015 11:20:50, LastAccessTime: 06.10.2015 13:13:29, LastWriteTime: 06.10.2015 13:13:29, ChangeTime: 06.10.2015 13:13:29, FileAttributes: D"
"15:08:53,9777229","GPU-Z.exe","1748","CloseFile","C:\Users\Admin","SUCCESS",""
"15:08:53,9778593","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Roaming","NAME COLLISION","Desired Access: Read Data/List Directory, Synchronize, Disposition: Create, Options: Directory, Synchronous IO Non-Alert, Open Reparse Point, Attributes: N, ShareMode: Read, Write, AllocationSize: 0"
"15:08:53,9780446","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Roaming","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9780819","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin\AppData\Roaming","SUCCESS","CreationTime: 19.08.2015 11:20:50, LastAccessTime: 11.11.2015 10:45:19, LastWriteTime: 11.11.2015 10:45:19, ChangeTime: 11.11.2015 10:45:19, FileAttributes: DNCI"
"15:08:53,9781086","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Roaming","SUCCESS",""
"15:08:53,9782763","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Roaming\Microsoft\Windows\Cookies","NAME COLLISION","Desired Access: Read Data/List Directory, Synchronize, Disposition: Create, Options: Directory, Synchronous IO Non-Alert, Open Reparse Point, Attributes: N, ShareMode: Read, Write, AllocationSize: 0"
"15:08:53,9784655","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Roaming\Microsoft\Windows\Cookies","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9785067","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin\AppData\Roaming\Microsoft\Windows\Cookies","SUCCESS","CreationTime: 19.08.2015 11:20:50, LastAccessTime: 13.11.2015 9:02:22, LastWriteTime: 13.11.2015 9:02:22, ChangeTime: 18.11.2015 15:05:38, FileAttributes: HSDNCI"
"15:08:53,9785348","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Roaming\Microsoft\Windows\Cookies","SUCCESS",""
"15:08:53,9787507","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Roaming\Microsoft\Windows\Cookies","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9787894","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin\AppData\Roaming\Microsoft\Windows\Cookies","SUCCESS","CreationTime: 19.08.2015 11:20:50, LastAccessTime: 13.11.2015 9:02:22, LastWriteTime: 13.11.2015 9:02:22, ChangeTime: 18.11.2015 15:05:38, FileAttributes: HSDNCI"
"15:08:53,9788157","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Roaming\Microsoft\Windows\Cookies","SUCCESS",""
"15:08:53,9807956","GPU-Z.exe","1748","CreateFile","C:\Users\Admin","NAME COLLISION","Desired Access: Read Data/List Directory, Synchronize, Disposition: Create, Options: Directory, Synchronous IO Non-Alert, Open Reparse Point, Attributes: N, ShareMode: Read, Write, AllocationSize: 0"
"15:08:53,9809847","GPU-Z.exe","1748","CreateFile","C:\Users\Admin","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9810234","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin","SUCCESS","CreationTime: 19.08.2015 11:20:50, LastAccessTime: 06.10.2015 13:13:29, LastWriteTime: 06.10.2015 13:13:29, ChangeTime: 06.10.2015 13:13:29, FileAttributes: D"
"15:08:53,9810558","GPU-Z.exe","1748","CloseFile","C:\Users\Admin","SUCCESS",""
"15:08:53,9811980","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local","NAME COLLISION","Desired Access: Read Data/List Directory, Synchronize, Disposition: Create, Options: Directory, Synchronous IO Non-Alert, Open Reparse Point, Attributes: N, ShareMode: Read, Write, AllocationSize: 0"
"15:08:53,9813929","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9814337","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin\AppData\Local","SUCCESS","CreationTime: 19.08.2015 11:20:50, LastAccessTime: 05.10.2015 20:11:31, LastWriteTime: 05.10.2015 20:11:31, ChangeTime: 05.10.2015 20:11:31, FileAttributes: DNCI"
"15:08:53,9814640","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local","SUCCESS",""
"15:08:53,9816045","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History","NAME COLLISION","Desired Access: Read Data/List Directory, Synchronize, Disposition: Create, Options: Directory, Synchronous IO Non-Alert, Open Reparse Point, Attributes: N, ShareMode: Read, Write, AllocationSize: 0"
"15:08:53,9818033","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9818393","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History","SUCCESS","CreationTime: 19.08.2015 11:20:50, LastAccessTime: 19.08.2015 11:21:46, LastWriteTime: 19.08.2015 11:21:46, ChangeTime: 19.08.2015 11:21:46, FileAttributes: HSDNCI"
"15:08:53,9818717","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History","SUCCESS",""
"15:08:53,9821193","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9821570","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History","SUCCESS","CreationTime: 19.08.2015 11:20:50, LastAccessTime: 19.08.2015 11:21:46, LastWriteTime: 19.08.2015 11:21:46, ChangeTime: 19.08.2015 11:21:46, FileAttributes: HSDNCI"
"15:08:53,9821834","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History","SUCCESS",""
"15:08:53,9823980","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9824331","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History","SUCCESS","CreationTime: 19.08.2015 11:20:50, LastAccessTime: 19.08.2015 11:21:46, LastWriteTime: 19.08.2015 11:21:46, ChangeTime: 19.08.2015 11:21:46, FileAttributes: HSDNCI"
"15:08:53,9824643","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History","SUCCESS",""
"15:08:53,9826859","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History\desktop.ini","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9827781","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History\desktop.ini","SUCCESS","CreationTime: 19.08.2015 11:21:46, LastAccessTime: 19.08.2015 11:21:46, LastWriteTime: 19.08.2015 11:21:46, ChangeTime: 19.08.2015 11:21:51, FileAttributes: HSNCI"
