SUDT ACCESSPORT LOG FILE - Monitor mode

Монитор: COM4
Задать время: 2017-05-13, 22:35:26
Имя компьютера: NEON
Версия системы:  (Build 9200)

#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( Hex )	

39	22:34:24.622	0.00004558	wdtmon3.exe	IOCTL_SERIAL_SET_CHARS              	COM4	SUCCESS	EofChar: 0x0, ErrorChar: 0x0, BreakChar: 0x0, EventChar: 0x0, XonChar: 0x68, XoffChar: 0xBB	
40	22:34:24.622	0.00014952	wdtmon3.exe	IOCTL_SERIAL_SET_HANDFLOW           	COM4	SUCCESS	ControlHandShake: 0x0, FlowReplace: 0x0, XonLimit: 4096, XoffLimit: 4096	
41	22:34:24.622	0.00004303	wdtmon3.exe	IOCTL_SERIAL_SET_TIMEOUTS           	COM4	SUCCESS	ReadIntervalTimeout: -1, ReadTotalTimeoutMultiplier: -1, ReadTotalTimeoutConstant: 3000, WriteTotalTimeoutMultiplier: 0, WriteTotalTimeoutConstant: 3000	
42	22:34:24.622	0.00014222	wdtmon3.exe	IRP_MJ_CLOSE                        	COM4	SUCCESS	Port Closed	
43	22:34:27.683	0.00012508	wdtmon3.exe	IRP_MJ_CREATE                       	COM4	SUCCESS	Port Opened	
44	22:34:27.683	0.00043943	wdtmon3.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM4	SUCCESS	Baud Rate: 9600	
45	22:34:27.683	0.00000511	wdtmon3.exe	IOCTL_SERIAL_CLR_RTS                	COM4	SUCCESS		
46	22:34:27.683	0.00009153	wdtmon3.exe	IOCTL_SERIAL_CLR_DTR                	COM4	SUCCESS		
47	22:34:27.683	0.00026694	wdtmon3.exe	IOCTL_SERIAL_SET_LINE_CONTROL       	COM4	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
48	22:34:27.683	0.00000292	wdtmon3.exe	IOCTL_SERIAL_SET_CHARS              	COM4	SUCCESS	EofChar: 0x0, ErrorChar: 0x0, BreakChar: 0x0, EventChar: 0x0, XonChar: 0xB8, XoffChar: 0xC3	
49	22:34:27.683	0.00000219	wdtmon3.exe	IOCTL_SERIAL_SET_HANDFLOW           	COM4	SUCCESS	ControlHandShake: 0x0, FlowReplace: 0x0, XonLimit: 4096, XoffLimit: 4096	
50	22:34:27.683	0.00000219	wdtmon3.exe	IOCTL_SERIAL_SET_TIMEOUTS           	COM4	SUCCESS	ReadIntervalTimeout: -1, ReadTotalTimeoutMultiplier: 0, ReadTotalTimeoutConstant: 0, WriteTotalTimeoutMultiplier: 0, WriteTotalTimeoutConstant: 0	
51	22:34:27.683	0.00000255	wdtmon3.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM4	SUCCESS	Mask: RXCHAR	
52	22:34:27.683	0.00019911	wdtmon3.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM4	SUCCESS		
53	22:34:27.683	0.00004485	wdtmon3.exe	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 2, Data: 7E 55 	
54	22:34:27.683	0.00000875	wdtmon3.exe	IRP_MJ_READ                         	COM4	SUCCESS	Length: 3, Data: 7E 41 0A 	
56	22:34:27.698	0.00045730	wdtmon3.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM4	SUCCESS	Baud Rate: 9600	
57	22:34:27.698	0.00000365	wdtmon3.exe	IOCTL_SERIAL_CLR_RTS                	COM4	SUCCESS		
58	22:34:27.698	0.00008205	wdtmon3.exe	IOCTL_SERIAL_CLR_DTR                	COM4	SUCCESS		
59	22:34:27.698	0.00027970	wdtmon3.exe	IOCTL_SERIAL_SET_LINE_CONTROL       	COM4	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
60	22:34:27.698	0.00000255	wdtmon3.exe	IOCTL_SERIAL_SET_CHARS              	COM4	SUCCESS	EofChar: 0x0, ErrorChar: 0x0, BreakChar: 0x0, EventChar: 0x0, XonChar: 0xB8, XoffChar: 0xC3	
61	22:34:27.698	0.00000219	wdtmon3.exe	IOCTL_SERIAL_SET_HANDFLOW           	COM4	SUCCESS	ControlHandShake: 0x0, FlowReplace: 0x0, XonLimit: 4096, XoffLimit: 4096	
62	22:34:27.698	0.00000146	wdtmon3.exe	IOCTL_SERIAL_SET_TIMEOUTS           	COM4	SUCCESS	ReadIntervalTimeout: -1, ReadTotalTimeoutMultiplier: -1, ReadTotalTimeoutConstant: 3000, WriteTotalTimeoutMultiplier: 0, WriteTotalTimeoutConstant: 3000	
63	22:34:27.698	0.00006455	wdtmon3.exe	IRP_MJ_CLOSE                        	COM4	SUCCESS	Port Closed	
64	22:34:30.686	0.00006819	wdtmon3.exe	IRP_MJ_CREATE                       	COM4	SUCCESS	Port Opened	
65	22:34:30.686	0.00042958	wdtmon3.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM4	SUCCESS	Baud Rate: 9600	
66	22:34:30.686	0.00000620	wdtmon3.exe	IOCTL_SERIAL_CLR_RTS                	COM4	SUCCESS		
67	22:34:30.686	0.00032419	wdtmon3.exe	IOCTL_SERIAL_CLR_DTR                	COM4	SUCCESS		
68	22:34:30.686	0.00041719	wdtmon3.exe	IOCTL_SERIAL_SET_LINE_CONTROL       	COM4	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
